Genotype,"1,3-Dimethylurate",3-Hydroxyisovalerate,Ethylene glycol,Galactarate,Glycine,Glycolate,Imidazole,Malonate,Maltose,O-Phosphocholine,Oxypurinol,Trimethylamine N-oxide,?-Methylhistidine,Galactitol,Galactonate,Leucine,Niacinamide,Propylene glycol,Succinate,2-Hydroxyisocaproate,Creatine,Histamine,Mannose,"N,N-Dimethylglycine",N-Methylhydantoin,Theophylline,Glucarate,Lactulose,Melatonin,Pyruvate,Uridine,Betaine,Caffeine,Guanidoacetate,3-Hydroxybutyrate,5-Aminolevulinate,Choline,Glucitol,Glutathione,2-Aminobutyrate,Arabinose,Creatinine,Dimethyl sulfone,Hypoxanthine,Sarcosine,"1,3-Dihydroxyacetone",Acetate,Creatine phosphate,Formate,Fucose,O-Acetylcholine,Riboflavin,Dimethylamine,Sucrose,Taurine,4-Pyridoxate,Glycylproline,N-Nitrosodimethylamine,Ornithine,Trimethylamine,Valine,p-Cresol,Lactose,Methanol,UDP-N-Acetylglucosamine,Fumarate,Methylmalonate,Syringate,Fructose,Galactose,IMP,Methionine,Pantothenate,3-Methylxanthine,AMP,Acetoacetate,Glucose,Hydroxyacetone,Isoleucine,Phenylalanine,2-Methylglutarate,Anserine,Histidine,"N,N-Dimethylformamide",Xanthine
WT-Male,252.5,76.5,186.1,50.3,2710.3,140.2,145.3,78.4,4255,219,2513.9,391.3,42.9,412.7,264.3,523.4,429.7,97.2,11.9,155.1,62.8,1E-12,2663.5,11.3,59.2,27,169.4,383.1,40.4,91,221.4,308.2,65.7,3213.6,34.2,196.9,181.8,3166.2,910.3,114.9,1391.4,201.2,1E-12,419.1,67.8,1E-12,481.8,14.7,205.7,421.9,269.4,38.5,642.9,69.9,7039.7,1E-12,1148.1,1E-12,146.3,4.6,386.8,1E-12,1E-12,1E-12,1E-12,47,126.3,8.3,1124.3,1E-12,24.8,1E-12,1E-12,15.9,1E-12,1E-12,12097.3,18.5,253.2,62.8,1E-12,56.1,225.5,42.3,81.9
WT-Male,222.9,78.1,63,74.3,805.1,151.3,71.9,87.1,4237.2,375.3,943.2,285.4,86.7,277.4,226.6,262.8,383.1,84.8,7.8,130.1,11,37.9,1276,6.8,51.1,11.7,226.5,272.3,10,87.5,178.6,507.2,21.9,1E-12,54.9,41,216.2,3426.4,496.3,1E-12,1314.6,157.5,28.5,452.3,32.8,1E-12,614.3,85.6,187.3,156,232.9,10.6,848.3,148.2,4901.2,11.5,587.8,1E-12,75.2,9.8,332.1,7.6,628.2,108.2,18.5,47.3,96,3.7,840.1,1103.7,49.9,39.1,45.7,10.4,35.3,28.9,23878.2,11.5,1E-12,135.9,1E-12,20,215.3,20.3,357.9
WT-Male,220.8,148,125.4,36.4,611.7,119.4,197.3,69.7,4317.8,149.5,725.1,452.3,44,232.9,149.3,1E-12,277.8,52.3,15.8,1E-12,12.6,60.6,545.5,5.1,42.2,37.2,1E-12,1E-12,27.1,79.6,137.1,575.6,19.4,2324.8,48.4,201.2,1E-12,3170.5,1E-12,108.1,1254.9,131.4,1E-12,363.9,34,1E-12,234.9,1E-12,142.7,162.5,271.7,14,461.2,1E-12,1E-12,1E-12,620.5,62.6,197.6,13.1,370.1,7,1016.8,39,20.1,57.7,1E-12,8.6,1E-12,1810.5,56.9,75,58.4,1E-12,24.9,41.4,17335.5,1E-12,1E-12,142.7,1E-12,45.7,176,1E-12,1E-12
WT-Male,197.4,117.1,141,42.7,817.3,209.7,154.7,96.8,4549,325,1402.7,31.2,65.2,156.5,194.8,706.8,360,63.1,13.1,1E-12,61.8,35.1,965.4,7,82.5,41.4,184.6,378.4,44.2,112.3,195.6,408.8,1E-12,2730.2,79.1,68,11.6,3644.3,717.1,135.1,1509,1E-12,4.9,542.2,88.3,1E-12,669.1,1E-12,168.3,211.5,338.7,20.5,483.3,1E-12,1808.1,32.6,879.7,67.1,251.5,1E-12,523.3,7.3,1E-12,195,31.1,64.8,148,7.3,1E-12,1306.8,42.6,124.1,1E-12,1E-12,55.8,35,9687.3,1E-12,1E-12,94.2,1E-12,33.7,187.4,1E-12,40.1
WT-Male,306.3,141.7,367.2,117.4,39.9,386,100.5,114.1,1869.1,183,2056.9,228.1,83.1,506.7,465.8,233.9,465.9,90.3,32.5,119.2,146.6,39.7,1E-12,1E-12,1E-12,119.8,156.7,277.9,17.2,45.8,187.5,255.3,1E-12,293.6,181.2,31.5,49.3,2705.9,1763.6,253.3,940.4,134.9,23.1,1E-12,341,18.5,1E-12,84.9,249.6,204.5,274.6,1E-12,1E-12,88.2,6691.5,187.5,1E-12,68.9,121,1E-12,1E-12,7.2,986.2,109.9,107.6,1E-12,1E-12,1E-12,656.2,2112.9,1E-12,1E-12,1E-12,1E-12,1E-12,22.8,1E-12,22.5,141.6,1E-12,54.2,1E-12,162.6,1E-12,1E-12
WT-Male,179.1,30.3,158,111.8,334,68.3,86.4,47.2,962.7,144.8,1613.7,86.8,50.2,358.6,349.4,154.9,360.9,53.2,328.6,85.2,122.7,30.7,611.1,14.1,60.1,53.9,94.7,289.5,22.8,40.8,144.2,240.6,15.9,1E-12,159.3,1E-12,122.2,1E-12,1099.3,1E-12,1188.4,1E-12,21.6,122.4,35.1,17.1,323.5,1E-12,179.1,38.1,1E-12,1E-12,436,136.2,5770,19.3,143.6,56.2,77.3,3.7,217.4,5.7,1E-12,67.6,77.1,28.1,84.6,7.1,1323.9,1E-12,36.1,1E-12,81.3,12.5,1E-12,13.2,24799.3,33.7,1E-12,1E-12,29.2,1E-12,162,14.5,114.6
WT-Male,260.9,144.6,692.5,48.4,510.2,135.9,60.6,95.6,5908.9,200.6,2436.3,403,49.6,526.1,245.1,428,397.2,96.7,46,199.2,1E-12,58.1,1077.3,78,93.4,15.9,194,488.7,40.2,152.1,225.7,571.9,73.5,3177.8,114.7,1E-12,11.5,4821.2,934.3,135.3,1488.6,189.9,24.9,638.4,76,12.6,584.8,85.8,207,216.3,369.8,11.6,24.8,1E-12,5594.7,185.1,965.2,101.7,228.7,7,488.9,10.4,1784.6,68.4,32.4,81,91.2,1E-12,986.9,3524.5,43.9,101.1,1E-12,1E-12,31.1,52.8,13074,1E-12,288.8,164.9,79.1,26.3,1E-12,59,1E-12
KO-Male,290.9,114.6,307,58.4,1047,401.1,81.2,121.5,5934.6,271.1,912.6,414.8,60.7,541,282.1,893.1,438.4,97.3,18.1,261,174.1,68.1,1160.1,4.6,79.1,12.8,135.3,637.4,36.6,103.2,274.6,456.7,41.7,3319.5,148.2,208.3,227.7,5094.3,904.3,199.6,1870.2,1E-12,30.5,705.6,1E-12,8.2,631.2,155,201.4,256.9,414,1E-12,827.7,1E-12,6661.5,34.6,1331,84,265,10.5,600.4,15,968.1,61.1,23.1,81.3,1E-12,1E-12,1199.9,3990.8,1E-12,113.6,1E-12,11.4,88.2,43.6,14540.1,1E-12,394,216.5,1E-12,1E-12,258.3,16.2,1E-12
KO-Male,299.1,132,76,247.5,543.2,169.8,100.1,64.6,1303.9,21.1,3844.9,418.7,78.9,649.9,379.1,178.9,361.4,75.3,257.6,125.4,58.9,32.5,1374.4,38.7,41.9,66,239.7,209.6,25.2,25.4,161.2,435.3,12.6,222.8,113.6,101.4,160.5,1711.8,1E-12,156.2,1E-12,64.5,11.1,125.9,184.5,16,13.1,11.6,269,140.1,229.9,22.8,1E-12,147.9,7254.1,1E-12,1E-12,57.1,57.4,1E-12,1E-12,1E-12,376.5,59.1,90.6,1E-12,1E-12,9.9,542.9,374.7,1E-12,1E-12,79.6,1E-12,1E-12,1E-12,1E-12,15.9,100.3,1E-12,1E-12,1E-12,223.6,1E-12,113.8
KO-Male,156.8,38.5,101.5,197.5,95.6,103.4,63,74.9,1239.6,3.5,1107,30.6,174.4,399.8,309.1,134.3,308.5,54.6,138.9,92.9,40.2,41.1,350.5,80.2,93.8,18.8,202.9,86.5,22.3,13.2,131,385.4,86.2,147.9,191.6,1E-12,182.7,1E-12,940.9,140.9,362.7,15.1,7.2,1E-12,155.9,11.5,601.7,26.9,171.8,98.6,169.7,14,363.8,65.2,2559.4,1E-12,1E-12,51,1E-12,20.4,67.7,1E-12,175.9,1E-12,1E-12,1E-12,1E-12,10.2,869.4,1381.8,1E-12,40.7,82.4,18.7,1E-12,1E-12,5427.2,1E-12,1E-12,1E-12,25.8,1E-12,1E-12,1E-12,1E-12
KO-Male,296.9,82.8,109.3,302.4,838.7,342.7,81.7,125.2,3513.7,220.7,2072.8,608.6,36,354.5,165.5,336.3,509.3,106.1,395.1,163.3,112.2,1E-12,2522,1E-12,21.6,19.7,304.3,382.9,34,104.4,252.4,617.6,70,2246.1,198.1,45.6,1E-12,3187.9,1655.4,176.1,1179.5,14,46.6,312.3,17.8,22.7,1008.7,16.9,256.4,204.6,281.8,18.3,28,60.8,7779.4,30.8,473.2,66.8,168.7,7.7,349.4,12.8,1E-12,65.6,73.8,55.3,1E-12,15.1,1751.5,1E-12,71.4,97.3,207.5,16.6,114.4,1E-12,1E-12,17.7,254.4,136.6,1E-12,79.8,203.3,41.2,1E-12
KO-Male,244,38,130.5,86.9,503.5,22.2,82.1,76.3,1076.7,218.6,5322.7,406.3,53,292.5,270.9,165.3,291,74,423.1,117.3,23.2,36.4,199.9,10,87.3,7.8,153.3,330.4,17.9,46.4,143.9,318,1E-12,1499.6,194.9,48.7,180.3,1941.9,978.2,1E-12,1E-12,115.1,1E-12,150.3,94.3,8,464.7,68.7,197.3,389.3,1E-12,19.9,690.7,188.2,6505.1,1E-12,444.6,1E-12,111.9,6.5,202.8,1E-12,1E-12,1E-12,1E-12,35,156.8,1E-12,1980,1E-12,41.2,1E-12,1E-12,36,52.7,1E-12,15832.5,13.7,152.4,1E-12,63.8,25.7,140.6,1E-12,1E-12
KO-Male,302.6,96.3,265.1,270.3,277.5,319.3,79.6,197.7,4766.2,239.4,6626,368.5,116,377.7,423.6,395,644.9,102.8,247.8,195.5,86.4,50.2,2697.3,42.6,42.7,85.4,322.1,249.2,18.9,129.8,153.7,1E-12,53.1,2845.7,291.1,90.7,1E-12,3648.6,1321.6,432.1,1643.9,161,1E-12,504.1,1E-12,17.5,1E-12,38.5,1E-12,1E-12,312.5,21.2,41.9,1E-12,7917.1,1E-12,1E-12,1E-12,190.8,8.4,1E-12,19.5,1112.6,180.9,1E-12,1E-12,253.1,12.6,2522.3,1E-12,1E-12,131.2,175,1E-12,1E-12,31.9,1E-12,42,1E-12,1E-12,28.2,30.2,1E-12,76.7,1E-12
KO-Male,255.9,59,329.2,73.3,604.6,419.5,198.1,85.5,5552.2,42.9,2848.5,510.2,48.5,576.4,249.3,411.4,522.2,67.1,186.9,194.8,95.2,46,1497.5,41.6,114.6,17.7,81,199.6,23.3,129.1,186,589.3,87.4,3459.9,271.1,24.1,183.6,5261.6,754.1,158.7,1E-12,38.8,13.6,482.7,1E-12,12.3,525.1,68.7,227.3,1E-12,340.6,1E-12,616.4,82.7,8450.2,20.1,888.8,179.7,1E-12,4,449.6,1E-12,839.6,188.3,60.8,80,158.9,3.5,2731.5,1E-12,1E-12,1E-12,1E-12,21.1,140.7,25.1,17572.5,25.1,277.3,162.1,67.2,1E-12,251.1,1E-12,44.7
WT-Female,238.5,110,56.6,62.6,253.7,155,70.6,108.1,3452,825.2,2723.1,748.4,41.7,349.6,276.9,322.7,542.7,63.7,125.1,169,32.5,41.7,1870.8,12.6,166.2,28.2,462.3,606.4,1E-12,129.5,153.1,1E-12,59.7,2115.2,196.8,59.1,1E-12,2856.4,920.2,356.4,1693.1,25.1,13.8,471.9,116.7,1E-12,1E-12,16.8,1E-12,1E-12,1E-12,17.4,45.8,165.3,7820.7,1E-12,596,93.6,158.9,1E-12,1E-12,11.1,990.8,1E-12,85.4,1E-12,219.3,1E-12,1E-12,922.2,45.7,176.8,57.4,1E-12,134.2,1E-12,1E-12,1E-12,173.2,1E-12,1E-12,52.7,1E-12,43.1,1E-12
WT-Female,322.3,222.1,92.9,173.2,433.6,359.5,91.1,184.3,5614.3,73.9,2682.8,1315,150.5,374.8,392.6,520.7,649.3,82,33,166.2,157,67.2,2227.6,13.2,300.9,39.2,160.9,956.5,64.9,225.2,300.5,2058.5,152.5,3443.3,131.5,95.7,25.2,1E-12,2176.1,414.8,3143.6,1E-12,18.5,593.8,119.8,31.6,1E-12,379.5,1E-12,270.5,1E-12,36.1,1E-12,626,1E-12,43.7,2041.8,154.6,293,6.8,1E-12,23.5,979,1E-12,133.8,1E-12,1E-12,1E-12,1E-12,2076.4,63,287.5,79.8,55.9,168.3,1E-12,1E-12,1E-12,88.4,173.6,92.8,107.1,1E-12,32.6,1E-12
WT-Female,223.8,156.8,495.8,50.5,893,375.8,216.6,158.8,7221.1,31.3,683.6,337.5,80.8,1481.4,131.4,396.1,360,75.2,68.5,310.3,90.6,44.6,2257,5.4,90.1,1E-12,247.9,1E-12,52.6,132.4,235.7,891,116.6,4774.1,146.2,165.5,265.9,7806.2,724.1,406.4,2054.3,449.1,33.3,856.7,1E-12,6,1199,25.2,204.5,1E-12,480.6,18.5,585.1,225.5,6148.2,51.1,1E-12,1E-12,298,6.4,1E-12,11.8,968.3,1E-12,15.5,82.4,162.4,11.7,1E-12,2382.6,32,113.7,1E-12,1E-12,41.4,28.2,11033.2,29.3,1E-12,1E-12,82,1E-12,249.9,78.8,1E-12
WT-Female,222.1,179.2,126.7,333.1,422.7,233.2,90.7,92.8,2384.9,175.2,2131.4,720.5,207,199.5,531.2,238.3,642.1,1E-12,18.6,125.3,86.7,119.5,1E-12,93.6,320.9,14.5,220,355.5,26.1,85.5,203.9,1400.8,44.9,282.4,107.9,71.2,19.6,2235.1,1504.4,270.2,1E-12,81.2,15,78.2,392.5,23.8,1E-12,33,1E-12,1E-12,189.3,15.6,1E-12,91,1E-12,53.9,1E-12,80.9,1E-12,32.8,1E-12,14.3,469.7,187.4,1E-12,1E-12,146.3,1E-12,1314.1,1E-12,1E-12,1E-12,128.3,18,1E-12,21.7,1E-12,26.2,1E-12,97.7,51.2,1E-12,1E-12,1E-12,140.2
WT-Female,126.2,56.5,139.3,211.5,231.4,21.9,56.2,45.8,1474.9,417.3,935.1,394.2,25.8,129.4,307.1,127.7,358.4,47.3,263.3,118.4,134.7,42,761.6,66.9,27.3,9.5,266.4,228.5,1E-12,77.4,137.5,1258,30.1,170.7,31,26.1,130.5,1578.6,1133.2,1E-12,704.8,22.5,7.8,147.7,1E-12,16.4,300.4,1E-12,144,142.6,113.9,9.1,310,103,5359.9,16.3,183.1,1E-12,1E-12,2.7,179,1E-12,1E-12,1E-12,38,50.9,80.9,1E-12,1E-12,753,31.1,21.5,18.4,15.8,1E-12,1E-12,7026.6,10.1,1E-12,1E-12,1E-12,23.2,1E-12,16.3,39.5
WT-Female,125.7,21.7,83.2,101.9,268.8,67.8,49.7,69.5,1436.6,440.1,608.9,187,52.1,424.2,305.6,161.6,395.4,42,51,103.5,104.4,57.7,1458.8,35.3,25.4,10.3,221,264.2,18.3,34,153.4,503,55.4,138.1,106.6,1E-12,157.7,1689.9,903.9,65.9,751.2,22.6,1E-12,226.1,74.1,18.1,341.6,8.9,149.9,1E-12,146.5,13.2,271.7,153.7,7433.5,15.9,91.3,1E-12,1E-12,3.9,234.8,7.3,1E-12,1E-12,52.6,32.9,83.7,8.2,1E-12,479.5,23.3,1E-12,33.7,102,32.8,20.3,6601.7,1E-12,1E-12,72.8,1E-12,22,1E-12,20.9,1E-12
WT-Female,151.1,42.1,144.5,179.8,176,121.6,99.4,59.1,1447.4,233.5,824.9,418.2,39.4,210.6,312.4,353.3,408.4,45.7,109.6,86.7,1E-12,20.1,422.7,19.6,1E-12,121.9,153.4,268,28.6,78.6,160.7,548.2,23.2,147.4,49.5,1E-12,155.9,2120.7,943.1,1E-12,1153.5,125.3,9.8,205.9,55.1,14.2,628.6,1E-12,154.3,149.4,179.1,1E-12,313.4,1E-12,1E-12,27.1,346.9,44.7,133.1,1E-12,264,5.4,1E-12,1E-12,85.9,75.5,85.7,5.6,1E-12,1E-12,23.4,72,28.7,1E-12,25.4,14.4,10504.1,16.4,143.3,1E-12,31.9,1E-12,1E-12,13.5,148.8
KO-Female,238.3,119.9,209.2,144.8,746.6,171.4,62.8,93.4,1921.7,182.5,3374.5,1043.9,125.4,254,505.6,372.2,630.3,55.8,171.9,180,12.9,149.9,426.7,14.3,159.5,131.1,356.2,499.6,13.4,75.7,205.8,684.1,75.6,1783.8,448,55.4,492.7,2306.8,1114.4,236.7,1993.3,35.2,1E-12,209.2,19,25.5,1E-12,21.3,1E-12,1E-12,281.4,16.8,39.8,251.5,1E-12,30.7,629.3,1E-12,278.4,27.6,512.6,9.3,1E-12,92.4,1E-12,1E-12,224.2,11,1984.1,1E-12,27.8,112.6,75.1,1E-12,30.2,47.3,1E-12,25.2,1E-12,117.2,1E-12,49.4,1E-12,40.3,155.5
KO-Female,251.7,26.7,120.7,135.3,154.2,189,123.7,115,1076.2,531.6,3178,901.3,208,329.4,480,233.7,431,44.9,10.4,191.5,104.7,116.6,498.4,12.7,140.2,15.2,103.5,449.1,31.6,45.2,205,664.3,48.1,1699.3,193.3,45.1,176.7,1248.3,1030,179.1,1860.2,15.2,29.1,315.7,79.2,24,472.1,20.9,173.5,196.5,202.5,16,34.7,143.6,1E-12,1E-12,727.9,84.1,158.1,5.1,365.8,11.1,521,173.2,91.2,39.2,1E-12,1E-12,1E-12,1E-12,33,66.5,149.1,184,1E-12,1E-12,1E-12,45.8,231.1,102,1E-12,79.5,1E-12,1E-12,1E-12
KO-Female,285.9,197.3,253.9,259,523.1,297.7,83.6,129.9,2372.2,339.5,2733.6,818.7,273.1,761.9,427.8,338.8,594.7,66.8,1E-12,187.4,175.2,44.5,404.9,95.9,190.6,18.7,350.4,158.3,26.9,1E-12,1E-12,1E-12,100.5,2086.7,1E-12,53.8,175.5,1E-12,1E-12,211.1,1234.7,1E-12,28.3,356.5,204.1,14.9,1E-12,54.2,1E-12,244.6,1E-12,1E-12,1E-12,1E-12,9007.4,47.9,1E-12,98.1,1E-12,1E-12,406,17.3,1E-12,112.5,1E-12,1E-12,1E-12,13.1,1E-12,2059.4,1E-12,1E-12,1E-12,38.4,1E-12,35.1,1E-12,1E-12,1E-12,129.7,61.6,1E-12,1E-12,1E-12,1E-12
KO-Female,179.4,161.2,75.9,238.4,1523.4,406.1,124.9,54.1,5176.2,5572.8,964.7,691.3,77.3,127.6,341.4,496.5,478.4,195.9,250.6,565.5,126.5,120.6,570.9,60.1,25.3,1E-12,1E-12,1139,1E-12,64,147.6,1051.2,39.6,1E-12,1E-12,280.1,807.8,5624.6,1E-12,203.1,3741.4,106.5,16,1E-12,137.2,1E-12,3838.6,28.4,366.9,1006.8,151.7,27.4,569.5,264.6,1E-12,65.7,1863.9,1E-12,1E-12,7.4,629.5,1E-12,681.2,134.5,59.2,70.8,1E-12,17.5,2107.3,1E-12,32.9,167.5,1E-12,1E-12,75.1,1E-12,14051,1E-12,358.4,133.7,1E-12,54.4,1E-12,51.7,578.9
KO-Female,173.6,51.5,57.9,80.3,96.4,130,103.2,65.1,856.7,381.4,2305.3,316.2,73.1,1E-12,200.3,237.7,462,45.6,263.8,151.5,57.1,37.2,503.2,33.3,120,10.6,263.6,1E-12,21.8,40.7,131.2,648.7,1E-12,191.8,278.3,40.5,120.4,1E-12,434.5,201.7,1E-12,81.7,5.6,206,201.3,8.3,653.5,1E-12,194.9,51.5,1E-12,12.1,1E-12,61.8,5985.6,1E-12,273.1,53.5,106,8.1,269,9.8,453.9,28.5,52,38.9,145.1,4.8,1530.5,1E-12,1E-12,1E-12,1E-12,43.4,1E-12,14.1,1E-12,16.9,173.8,1E-12,48.5,1E-12,143.6,1E-12,104.7
KO-Female,221.2,176.3,199.8,273.8,712.1,117,86.4,96,3798.7,584.5,1503.7,985.2,28.5,356.7,1E-12,311.5,625.9,62,37.5,152.7,93.2,45.4,1849.2,32.8,172.7,31.7,398.3,244.1,27.3,1E-12,1E-12,968.3,108.4,2190.1,1E-12,70.3,273.8,3283.3,1365.3,278.6,1514.8,1E-12,25.5,1E-12,418.5,14.6,14,1E-12,247.1,62.9,226.6,28.5,1E-12,174.3,1E-12,55.2,1E-12,176.4,118.3,1E-12,1E-12,1E-12,735.5,1E-12,1E-12,1E-12,167.3,1E-12,1E-12,1533,1E-12,1E-12,133.4,1E-12,1E-12,1E-12,1E-12,1E-12,177.6,132.7,38,1E-12,1E-12,1E-12,138.6
KO-Female,295.6,146.6,248.2,259.1,613.4,54.1,84.1,129.4,1478.2,574.3,3463.9,741,31,395.6,452.5,278.7,1E-12,54.7,131,145.4,36.5,103.8,1014.7,107.2,148.9,60.7,1E-12,167.2,21.2,1E-12,1E-12,1E-12,55.4,1847.2,1E-12,53.8,1E-12,1662.1,1E-12,174.1,1E-12,72.8,34.2,1E-12,235.9,16.6,25.2,92.1,1E-12,208.9,1E-12,1E-12,1E-12,1E-12,9159.5,30.9,1E-12,90.1,1E-12,1E-12,1E-12,16.5,557.8,95,1E-12,1E-12,1E-12,1E-12,2313.9,1147.4,1E-12,1E-12,85.6,38.3,1E-12,1E-12,1E-12,1E-12,1E-12,1E-12,1E-12,1E-12,60.6,1E-12,155.6
